,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.04344339370727539,0.0002908229827880859,0.43592233009708736,0.4371407784504969,10.0,"(6,)","{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,)}",12,0.4396135265700483,0.4422843256379101,0.45410628019323673,0.43863912515188336,0.41545893719806765,0.43863912515188336,0.43902439024390244,0.43272727272727274,0.43137254901960786,0.43341404358353514,0.0707919042141051,5.82989541767681e-05,0.012623874636258909,0.003586467590312743
1,0.009771490097045898,0.0002755165100097656,0.42330097087378643,0.42258116568852405,10.0,"(6, 6)","{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6)}",25,0.4251207729468599,0.42162818955042525,0.42028985507246375,0.4240583232077764,0.38164251207729466,0.43377885783718106,0.43414634146341463,0.4218181818181818,0.45588235294117646,0.4116222760290557,0.0017225326684866993,1.1396906853778386e-05,0.024185042668364708,0.0070591483093553
2,0.010265111923217773,0.00028619766235351565,0.4145631067961165,0.41456202453010327,10.0,"(6, 6, 6)","{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6, 6)}",54,0.42028985507246375,0.4131227217496962,0.4251207729468599,0.41190765492102066,0.40096618357487923,0.41798298906439857,0.424390243902439,0.4121212121212121,0.4019607843137255,0.41767554479418884,0.0018341813053838582,2.2085643549178004e-05,0.010808463900224627,0.002700808860711309
3,0.013385868072509766,0.00026240348815917967,0.3883495145631068,0.39077996912986723,10.0,"(12,)","{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (12,)}",89,0.38164251207729466,0.38517618469015796,0.38164251207729466,0.39125151883353587,0.3526570048309179,0.3985419198055893,0.40487804878048783,0.39636363636363636,0.4215686274509804,0.38256658595641646,0.002185616415986667,6.771423438973682e-06,0.023388912093638102,0.006172675925293519
4,0.02096271514892578,0.00027904510498046877,0.3737864077669903,0.38080199938181275,10.0,"(12, 12)","{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (12, 12)}",103,0.33816425120772947,0.3730255164034022,0.3864734299516908,0.36330498177399756,0.33816425120772947,0.36573511543134873,0.4146341463414634,0.40606060606060607,0.39215686274509803,0.39588377723970947,0.005905831259946965,7.140785702911074e-06,0.030680850635008968,0.017082666884110222
5,0.012906217575073242,0.00034132003784179685,0.4077669902912621,0.41238108682374186,10.0,"(12, 12, 12)","{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (12, 12, 12)}",60,0.3671497584541063,0.41433778857837184,0.4057971014492754,0.41190765492102066,0.3961352657004831,0.41676792223572295,0.4292682926829268,0.40484848484848485,0.4411764705882353,0.41404358353510895,0.0015446594970241916,8.29924902816645e-05,0.025934685295154445,0.004069425814235955
6,0.010511684417724609,0.00030460357666015623,0.35631067961165047,0.3594521491990446,10.0,"(18,)","{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (18,)}",117,0.36231884057971014,0.35479951397326853,0.3719806763285024,0.34750911300121506,0.34782608695652173,0.353584447144593,0.37073170731707317,0.3696969696969697,0.3284313725490196,0.37167070217917675,0.0027940290817898457,4.452969785688945e-05,0.01632187409073018,0.009518008610309376
7,0.03441333770751953,0.00032405853271484376,0.3864077669902913,0.4007737767377778,10.0,"(18, 18)","{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (18, 18)}",101,0.45893719806763283,0.48116646415552855,0.4106280193236715,0.4204131227217497,0.3188405797101449,0.3402187120291616,0.4292682926829268,0.4703030303030303,0.3137254901960784,0.2917675544794189,0.018482567637401946,3.347464775417889e-05,0.059198887964475366,0.07380010508823269
8,0.020714569091796874,0.00033268928527832033,0.3592233009708738,0.3643188861718013,10.0,"(18, 18, 18)","{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (18, 18, 18)}",116,0.3140096618357488,0.3718104495747266,0.40096618357487923,0.35236938031591736,0.34299516908212563,0.36330498177399756,0.35609756097560974,0.37454545454545457,0.38235294117647056,0.3595641646489104,0.004666634837447405,4.277205387418572e-06,0.03036202700919792,0.008088662336987337
9,0.011107921600341797,0.0002532482147216797,0.43398058252427185,0.44248530726640994,3.16227766017,"(6,)","{'NN__alpha': 3.1622776601683795, 'NN__hidden_layer_sizes': (6,)}",14,0.43478260869565216,0.4532199270959903,0.4492753623188406,0.4520048602673147,0.41545893719806765,0.43863912515188336,0.43902439024390244,0.43272727272727274,0.43137254901960786,0.4358353510895884,0.005572536161672011,7.119739265121593e-06,0.011067801836723127,0.008486321043908252
10,0.01069340705871582,0.0005125045776367187,0.42524271844660194,0.4254932064935154,3.16227766017,"(6, 6)","{'NN__alpha': 3.1622776601683795, 'NN__hidden_layer_sizes': (6, 6)}",17,0.4251207729468599,0.42284325637910086,0.42028985507246375,0.42770352369380316,0.391304347826087,0.4374240583232078,0.43414634146341463,0.42303030303030303,0.45588235294117646,0.41646489104116224,0.0008956554667192909,0.00023286534853731838,0.020931467431539487,0.006954557304288321
11,0.010028314590454102,0.00039076805114746094,0.4145631067961165,0.41504716864644375,3.16227766017,"(6, 6, 6)","{'NN__alpha': 3.1622776601683795, 'NN__hidden_layer_sizes': (6, 6, 6)}",54,0.42028985507246375,0.41433778857837184,0.4251207729468599,0.41190765492102066,0.40096618357487923,0.41798298906439857,0.424390243902439,0.4121212121212121,0.4019607843137255,0.4188861985472155,0.0019228717952378997,0.00014594769512877787,0.010808463900224627,0.0029078576377169194
12,0.017490959167480467,0.00030612945556640625,0.3932038834951456,0.39345341606379153,3.16227766017,"(12,)","{'NN__alpha': 3.1622776601683795, 'NN__hidden_layer_sizes': (12,)}",87,0.40096618357487923,0.4046172539489672,0.37681159420289856,0.39003645200486026,0.357487922705314,0.3973268529769137,0.4,0.38666666666666666,0.43137254901960786,0.38861985472154964,0.003559118051233362,5.905065579000679e-05,0.024903997474687325,0.006644301556296781
13,0.02298083305358887,0.0003071308135986328,0.38155339805825245,0.38664345050093757,3.16227766017,"(12, 12)","{'NN__alpha': 3.1622776601683795, 'NN__hidden_layer_sizes': (12, 12)}",102,0.33816425120772947,0.37424058323207776,0.3961352657004831,0.3596597812879708,0.3961352657004831,0.4155528554070474,0.3951219512195122,0.3890909090909091,0.38235294117647056,0.3946731234866828,0.005061981016704388,4.563393886384285e-05,0.02237377068429193,0.01891120786473885
14,0.011669015884399414,0.0003270626068115234,0.4184466019417476,0.4174875980538603,3.16227766017,"(12, 12, 12)","{'NN__alpha': 3.1622776601683795, 'NN__hidden_layer_sizes': (12, 12, 12)}",30,0.391304347826087,0.4289185905224787,0.4057971014492754,0.42162818955042525,0.40096618357487923,0.41919805589307413,0.43414634146341463,0.41454545454545455,0.46078431372549017,0.40314769975786924,0.0012384944998711895,4.1511242232208565e-05,0.025410539360589034,0.008544315588064224
15,0.013836240768432618,0.0002755641937255859,0.3650485436893204,0.36649924117387095,3.16227766017,"(18,)","{'NN__alpha': 3.1622776601683795, 'NN__hidden_layer_sizes': (18,)}",115,0.36231884057971014,0.35479951397326853,0.3719806763285024,0.3487241798298906,0.37681159420289856,0.3863912515188335,0.3853658536585366,0.37212121212121213,0.3284313725490196,0.3704600484261501,0.0044600010369391496,1.0774198636594171e-05,0.019664206337820515,0.013385238506185337
16,0.0313664436340332,0.00032901763916015625,0.41650485436893203,0.44391599001735543,3.16227766017,"(18, 18)","{'NN__alpha': 3.1622776601683795, 'NN__hidden_layer_sizes': (18, 18)}",31,0.45410628019323673,0.41798298906439857,0.41545893719806765,0.4374240583232078,0.3719806763285024,0.4374240583232078,0.4195121951219512,0.49454545454545457,0.4215686274509804,0.4322033898305085,0.006011769487460935,2.550610829150883e-05,0.026261183128595322,0.02629577370684496
17,0.03736491203308105,0.0003650188446044922,0.4058252427184466,0.42818110085643085,3.16227766017,"(18, 18, 18)","{'NN__alpha': 3.1622776601683795, 'NN__hidden_layer_sizes': (18, 18, 18)}",65,0.37681159420289856,0.44349939246658565,0.40096618357487923,0.4641555285540705,0.45893719806763283,0.4349939246658566,0.3463414634146341,0.36,0.44607843137254904,0.43825665859564167,0.013409292523970658,5.714311936189518e-05,0.04202358447852558,0.03556797281835356
18,0.010855913162231445,0.0002743244171142578,0.43592233009708736,0.44078597893652366,1.0,"(6,)","{'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (6,)}",12,0.4396135265700483,0.4520048602673147,0.45410628019323673,0.44835965978128794,0.41545893719806765,0.4374240583232078,0.43902439024390244,0.43272727272727274,0.43137254901960786,0.43341404358353514,0.004111884847692304,2.6183353705158085e-05,0.012623874636258909,0.007922305556826499
19,0.009004545211791993,0.0002660274505615234,0.42330097087378643,0.4250068862702262,1.0,"(6, 6)","{'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (6, 6)}",25,0.4251207729468599,0.4240583232077764,0.42028985507246375,0.42770352369380316,0.3961352657004831,0.43377885783718106,0.43414634146341463,0.4218181818181818,0.4411764705882353,0.41767554479418884,0.0009026348482022178,3.5150370586361147e-06,0.015410897678718151,0.005459588159740584
20,0.01087656021118164,0.00032672882080078127,0.4155339805825243,0.4155326062546031,1.0,"(6, 6, 6)","{'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (6, 6, 6)}",34,0.42028985507246375,0.41433778857837184,0.4251207729468599,0.4131227217496962,0.4057971014492754,0.41798298906439857,0.424390243902439,0.41333333333333333,0.4019607843137255,0.4188861985472155,0.000984384384848499,6.185179014269142e-05,0.009704056617686668,0.002421689128202286
21,0.014798212051391601,0.0002775669097900391,0.39611650485436894,0.3956464211694971,1.0,"(12,)","{'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (12,)}",66,0.4057971014492754,0.4046172539489672,0.3864734299516908,0.41676792223572295,0.36231884057971014,0.39003645200486026,0.40487804878048783,0.38545454545454544,0.4215686274509804,0.3813559322033898,0.005589904843029733,4.733323996861935e-05,0.02026499182158884,0.013161746142176021
22,0.01976485252380371,0.0002951622009277344,0.38737864077669903,0.39318950058872215,1.0,"(12, 12)","{'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (12, 12)}",91,0.34299516908212563,0.37667071688942894,0.391304347826087,0.3645200486026732,0.40096618357487923,0.4131227217496962,0.4146341463414634,0.40969696969696967,0.3872549019607843,0.4019370460048426,0.003936373311198596,3.337417300688904e-05,0.024164975848319788,0.01918935686834524
23,0.010881519317626953,0.00032215118408203126,0.41650485436893203,0.4170030430608308,1.0,"(12, 12, 12)","{'NN__alpha': 1.0, 'NN__hidden_layer_sizes': (12, 12, 12)}",31,0.37681159420289856,0.4264884568651276,0.40096618357487923,0.42284325637910086,0.4057971014492754,0.4204131227217497,0.43414634146341463,0.41333333333333333,0.46568627450980393,0.4019370460048426,0.0006504060690703365,5.2479043449605876e-05,0.030483037630590296,0.008673647983525627
