,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.005803680419921875,0.00039181709289550783,0.37209302325581395,0.37209259000043304,10.0,"(6,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 1}",664,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.0005761609116504791,7.475249459177178e-06,0.00260485190241458,0.0006462897072953789
1,0.007823991775512695,0.0004192352294921875,0.37209302325581395,0.37209259000043304,10.0,"(6,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 2}",664,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.0007694116988756259,7.478898592642843e-07,0.00260485190241458,0.0006462897072953789
2,0.008900833129882813,0.00044040679931640626,0.37209302325581395,0.37209259000043304,10.0,"(6,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 3}",664,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.000347597327165239,4.155328737074726e-06,0.00260485190241458,0.0006462897072953789
3,0.012882041931152343,0.0005247592926025391,0.37209302325581395,0.37209259000043304,10.0,"(6,)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 4}",664,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.0022199626835015546,0.00012058013450726568,0.00260485190241458,0.0006462897072953789
4,0.01130084991455078,0.0005013465881347657,0.627906976744186,0.627907409999567,10.0,"(6,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 5}",181,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6282051282051282,0.627831715210356,0.6233766233766234,0.6290322580645161,0.631578947368421,0.6270096463022508,0.0010592725815205038,4.137353106943914e-05,0.0026048519024145646,0.0006462897072953943
5,0.021264028549194337,0.0006751060485839844,0.6718346253229974,0.6602697487033702,10.0,"(6,)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 6}",92,0.6923076923076923,0.6893203883495146,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6601941747572816,0.6883116883116883,0.6870967741935484,0.6447368421052632,0.5980707395498392,0.012203696368517482,7.570074857018576e-05,0.017130814344941105,0.03308556171816434
6,0.023564624786376952,0.0005688190460205079,0.37209302325581395,0.37209259000043304,10.0,"(6,)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 7}",664,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.011423070719900124,6.941370119722045e-05,0.00260485190241458,0.0006462897072953789
7,0.021778440475463866,0.0006295204162597656,0.7545219638242894,0.737852040352204,10.0,"(6,)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 8}",53,0.717948717948718,0.7572815533980582,0.8205128205128205,0.7281553398058253,0.8076923076923077,0.8025889967637541,0.8051948051948052,0.7838709677419354,0.618421052631579,0.617363344051447,0.009443449525468082,0.00011453451858796738,0.07658772581702362,0.0652651103093736
8,0.026999378204345705,0.0005861759185791015,0.6589147286821705,0.6640409000261492,10.0,"(6,)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'km__n_components': 9}",118,0.5512820512820513,0.6148867313915858,0.7051282051282052,0.6634304207119741,0.6923076923076923,0.6796116504854369,0.6753246753246753,0.667741935483871,0.6710526315789473,0.6945337620578779,0.008725323599812228,1.7514015261882316e-05,0.05543127563458702,0.026842002709778927
9,0.006429100036621093,0.00041365623474121094,0.37209302325581395,0.37209259000043304,10.0,"(6, 6)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'km__n_components': 1}",664,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.3717948717948718,0.37216828478964403,0.37662337662337664,0.3709677419354839,0.3684210526315789,0.3729903536977492,0.0006410108740220604,9.348927256128288e-06,0.00260485190241458,0.0006462897072953789
