,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.009792470932006836,0.0004817962646484375,0.2262135922330097,0.22621324177672383,10.0,"(6,)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 1}",909,0.22705314009661837,0.22600243013365734,0.22705314009661837,0.22600243013365734,0.22705314009661837,0.22600243013365734,0.22439024390243903,0.22666666666666666,0.22549019607843138,0.22639225181598063,0.0012340520098894122,2.6936615055606293e-05,0.0010910057940652807,0.00027238332237182423
1,0.013170003890991211,0.0004807949066162109,0.25533980582524274,0.25534158480411334,10.0,"(6,)",2,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 2}",895,0.2463768115942029,0.25759416767922233,0.26570048309178745,0.25273390036452004,0.24154589371980675,0.25880923450789795,0.2634146341463415,0.25333333333333335,0.25980392156862747,0.2542372881355932,0.0019547895303986783,1.1758266755351815e-05,0.00963749767828183,0.0024145926081177095
2,0.014541912078857421,0.0005557060241699219,0.36019417475728155,0.3657887445530834,10.0,"(6,)",3,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 3}",542,0.3864734299516908,0.3839611178614824,0.3333333333333333,0.3778857837181045,0.3671497584541063,0.35479951397326853,0.35609756097560974,0.3575757575757576,0.35784313725490197,0.35472154963680386,0.0037808133619894086,0.00011235859975637846,0.017261219076390517,0.012548088741803288
3,0.011970281600952148,0.0005411624908447266,0.4262135922330097,0.4262140074230608,10.0,"(6,)",4,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 4}",38,0.4251207729468599,0.4264884568651276,0.4251207729468599,0.4264884568651276,0.4251207729468599,0.4264884568651276,0.4292682926829268,0.4254545454545455,0.4264705882352941,0.4261501210653753,0.0019273748732861451,5.1640033261805054e-05,0.0016094382569135867,0.0004017042287733152
4,0.011110448837280273,0.0005432605743408203,0.2796116504854369,0.2810842211862044,10.0,"(6,)",5,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 5}",847,0.3285024154589372,0.33292831105710813,0.27053140096618356,0.267314702308627,0.26570048309178745,0.26852976913730253,0.25365853658536586,0.27151515151515154,0.27941176470588236,0.2651331719128329,0.0004418686236692282,1.4479370538085783e-05,0.025882640773846343,0.026003948308676004
5,0.017372846603393555,0.0006475448608398438,0.3679611650485437,0.3483000320861803,10.0,"(6,)",6,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 6}",453,0.357487922705314,0.30984204131227217,0.3961352657004831,0.38031591737545567,0.357487922705314,0.3572296476306197,0.37073170731707317,0.336969696969697,0.35784313725490197,0.35714285714285715,0.001300644531714616,0.00015801623688174802,0.015013960174768895,0.023623480047733625
6,0.013353538513183594,0.000655364990234375,0.4,0.4055658191510901,10.0,"(6,)",7,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 7}",388,0.36231884057971014,0.3754556500607533,0.391304347826087,0.3997569866342649,0.4057971014492754,0.41433778857837184,0.4585365853658537,0.41818181818181815,0.38235294117647056,0.42009685230024213,0.0009321400959752726,0.00011429891120328464,0.032418533822931125,0.01665909134025893
7,0.014525413513183594,0.0007229328155517578,0.36601941747572814,0.3599370041029123,10.0,"(6,)",8,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 8}",478,0.3526570048309179,0.330498177399757,0.3333333333333333,0.34993924665856624,0.357487922705314,0.37910085054678005,0.4292682926829268,0.3612121212121212,0.35784313725490197,0.3789346246973366,0.0009100472455434752,0.00017610103037958656,0.03278209936894034,0.018419490731235864
8,0.01695570945739746,0.0005976200103759765,0.34951456310679613,0.3538910983093284,10.0,"(6,)",9,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6,), 'gmm__n_components': 9}",556,0.34782608695652173,0.34750911300121506,0.34782608695652173,0.34750911300121506,0.357487922705314,0.37910085054678005,0.3463414634146341,0.3478787878787879,0.3480392156862745,0.3474576271186441,0.0027340020048149324,1.1965287647172779e-05,0.004044449588757385,0.012605780492251948
9,0.012442970275878906,0.00048422813415527344,0.34757281553398056,0.34757275080021544,10.0,"(6, 6)",1,"{'NN__alpha': 10.0, 'NN__hidden_layer_sizes': (6, 6), 'gmm__n_components': 1}",557,0.34782608695652173,0.34750911300121506,0.34782608695652173,0.34750911300121506,0.34782608695652173,0.34750911300121506,0.3463414634146341,0.3478787878787879,0.3480392156862745,0.3474576271186441,0.0016556139128631,2.9597724519761387e-05,0.0006192993286040435,0.00015431232219401302
